SYMBOL,NAME,INDUSTRY,MARKET_CAP
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,304375000
AFYA,Afya Limited,Diversified Consumer Services,1086727543
AG,First Majestic Silver,Metals & Mining,2136279417
AGAC,African Gold Acquisition,Blank Check / SPAC,509996250
AGBA,AGBA Acquisition,Blank Check / SPAC,53869570
AGCB,Altimeter Growth 2,Blank Check / SPAC,578070519
AGCO,AGCO Corporation,Machinery,8374382481
AGE,AgeX Therapeutics,Biotechnology,25235954
AGEN,Agenus,Biotechnology,756045247
AGFS,AgroFresh Solutions,Chemicals,98457744
AGFY,Agrify,Machinery,37759788
AGGR,Agile Growth,Blank Check / SPAC,381687519
AGI,Alamos Gold,Metals & Mining,3094896123
AGIL,AgileThought,Software-Application,238739191
AGIO,Agios Pharmaceuticals,Biotechnology,1424719742
AGL,agilon health,Medical Care Facilities,10581602283
AGLE,Aeglea Biotherapeutics,Biotechnology,30580133
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1216431344
AGMH,AGM Group Holdings,Capital Markets,44847123
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6628127741
AGO,Assured Guaranty,Insurance,3369068783
AGR,Avangrid,Electric Utilities,19253874652
AGRI,AgriFORCE Growing Systems,Farm Products,26440533
AGRO,Adecoagro,Food Products,990836919
AGRX,Agile Therapeutics,Pharmaceuticals,20212701
AGS,PlayAGS,"Hotels, Restaurants & Leisure",223024800
AGTC,Applied Genetic Technologies,Biotechnology,28620075
AGTI,Agiliti,Health Information Services,2216481280
AGX,Argan,Construction & Engineering,523795576
AGYS,Agilysys,Software,1311708240
AHCO,AdaptHealth,Health Care Providers & Services,3119101426
AHG,Akso Health Group,Credit Services,32641894
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1236771200
AHI,Advanced Human Imaging,Software-Application,16908963
AHPA,Avista Public Acquisition II,Blank Check / SPAC,290949979
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,8548840
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,417668568
AI,C3.ai,Software,2484547316
AIG,American International Group,Insurance,42834235364
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,64174699
AIHS,Senmiao Technology,Consumer Finance,6503017
AIKI,AIkido Pharma,Biotechnology,32040615
AIM,AIM ImmunoTech,Biotechnology,36300867
AIMC,Altra Industrial Motion,Machinery,2826488542
AIN,Albany International,Machinery,2921533906
AINC,Ashford,Capital Markets,54667061
AIP,Arteris,Semiconductors,292519097
AIR,AAR Corp.,Aerospace & Defense,1639982713
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,7003173358
AIRG,Airgain,"Electronic Equipment, Instruments & C...",83245764
AIRI,Air Industries Group,Aerospace & Defense,22821555
AIRS,AirSculpt Technologies,Medical Care Facilities,494084984
AIRT,Air T,Air Freight & Logistics,43368919
AIT,Applied Industrial Technologies,Trading Companies & Distributors,4570618811
AIU,Meta Data,Education & Training Services,20958604
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1399770744
AIZ,Assurant,Insurance,8696527828
AJG,Arthur J. Gallagher & Company,Insurance,38954225533
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3326895082
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,240971930
AKA,a.k.a. Brands Holding,Internet Retail,261169647
AKAM,Akamai Technologies,IT Services,15017371556
AKBA,Akebia Therapeutics,Biotechnology,73282207
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,291158970
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1736052862
