,OPEN,CLOSE,HIGH,LOW,ADJCLOSE,DATE,VOLUME,RSI_10,RSI_25,EMA_10,EMA_25,EMA_50,PGO_10,PGO_25,VIA_15,VIB_15,VIA_30,VIB_30,BOP,NAT_30,ETP_10,ETP_25,MAD_10,MAD_25,SIN_25,SIN_50,LIN_10,LIN_90,PREDICTION,TARGET_DIFF,TARGET_PCNT,TARGET_HI,TARGET_LO
6141,1.53393,1.46571,1.53536,1.4425,1.25147,2005-04-13,1371946800,42.80959,50.43975,1.50657,1.50094,1.45765,-0.81394,-0.65017,-0.19042,-0.12576,-0.19153,-0.1662,-0.73465,3.33936,3.31585,4.61677,0.02839,0.03469,-0.21044,0.67693,1.51619,1.60721,0,-0.05536,0.60036,1.41286,1.31571
6142,1.38607,1.33071,1.41286,1.31571,1.13621,2005-04-14,2753192400,28.65088,41.8139,1.47459,1.48784,1.45267,-3.23281,-3.53276,-0.23605,-0.16554,-0.21292,-0.18222,-0.56984,4.16808,3.2992,4.61107,0.0448,0.03803,-0.69011,-0.45156,1.46417,1.60062,0,-0.04536,0.63371,1.33036,1.26
6143,1.30786,1.2625,1.33036,1.26,1.07796,2005-04-15,1728087200,24.16419,38.36116,1.43603,1.47051,1.44521,-4.02998,-4.83201,-0.27763,-0.2115,-0.22617,-0.20096,-0.64468,4.47117,3.27836,4.59814,0.06859,0.04583,-0.86203,-0.7871,1.39528,1.59213,0,0.02214,0.7721,1.29643,1.21429
6144,1.25,1.27214,1.29643,1.21429,1.0862,2005-04-18,1327177600,25.9843,39.10146,1.40623,1.45525,1.43843,-3.30167,-4.42588,-0.29985,-0.25294,-0.2267,-0.21607,0.26954,4.56759,3.25959,4.58542,0.09558,0.05433,-0.98478,-0.93623,1.33854,1.58288,0,0.0175,0.81755,1.33714,1.28107
6145,1.30714,1.32464,1.33714,1.28107,1.13102,2005-04-19,1081642800,35.3706,42.98605,1.3914,1.4452,1.43396,-1.92142,-3.16689,-0.28446,-0.27924,-0.21255,-0.22187,0.31211,4.42013,3.24598,4.57784,0.10649,0.06024,-0.97406,-0.99486,1.30917,1.57593,0,-0.07679,0.51243,1.34786,1.26571
6146,1.345,1.26821,1.34786,1.26571,1.08284,2005-04-20,945131600,30.71822,40.12065,1.369,1.43159,1.42746,-2.4181,-4.14289,-0.26664,-0.28548,-0.19904,-0.21729,-0.93475,4.73686,3.22534,4.56391,0.11461,0.07059,-0.94555,-0.98658,1.27275,1.56669,0,0.02786,0.73683,1.32893,1.28214
6147,1.3,1.32786,1.32893,1.28214,1.13377,2005-04-21,759592400,39.98909,44.21517,1.36152,1.42361,1.42356,-0.94922,-2.74584,-0.26213,-0.27736,-0.19209,-0.207,0.59543,4.52722,3.21125,4.55535,0.10294,0.07842,-0.93082,-0.96434,1.26988,1.56037,0,-0.04785,0.6226,1.32143,1.24643
6148,1.31571,1.26786,1.32143,1.24643,1.08254,2005-04-22,839129200,34.7866,41.2591,1.34449,1.41163,1.41745,-1.43408,-3.73808,-0.26478,-0.26779,-0.19279,-0.19793,-0.638,4.84992,3.19234,4.53913,0.08486,0.08842,-0.88293,-0.93995,1.26007,1.55126,0,0.0175,0.8171,1.32214,1.28964
6149,1.30321,1.32071,1.32214,1.28964,1.12767,2005-04-25,746460400,42.1522,44.65419,1.34017,1.40463,1.41366,-0.25665,-2.45945,-0.25758,-0.26301,-0.1972,-0.19433,0.53846,4.62063,3.19121,4.52684,0.0633,0.0934,-0.89564,-0.91872,1.26946,1.54449,0,-0.02107,0.78906,1.33964,1.29
6150,1.31357,1.2925,1.33964,1.29,1.10358,2005-04-26,810507600,39.50584,43.26384,1.3315,1.39601,1.40891,-0.33722,-2.78425,-0.25049,-0.25956,-0.20243,-0.19575,-0.42446,4.66465,3.18642,4.51101,0.04064,0.0977,-0.48476,-0.85525,1.28165,1.53638,0,0.00214,0.97292,1.29857,1.26821
6151,1.28179,1.28393,1.29857,1.26821,1.09626,2005-04-27,613888800,38.68603,42.84172,1.32285,1.38739,1.40401,-0.18185,-2.73878,-0.26073,-0.25695,-0.20847,-0.20009,0.07049,4.54538,3.18948,4.49787,0.0247,0.10169,-0.3686,-0.80231,1.29343,1.52833,0,-0.02678,0.74386,1.29786,1.25857
6152,1.29607,1.26929,1.29786,1.25857,1.08376,2005-04-28,575106000,37.21997,42.1106,1.31311,1.3783,1.39872,-0.32291,-2.81391,-0.28528,-0.26089,-0.21483,-0.20564,-0.6816,4.50088,3.20718,4.48484,0.02197,0.10511,-0.44781,-0.95259,1.29067,1.51896,0,-0.00321,0.96015,1.29393,1.25786
6153,1.29107,1.28786,1.29393,1.25786,1.09961,2005-04-29,671630400,40.40306,43.38715,1.30852,1.37135,1.39438,-0.06058,-2.25747,-0.31839,-0.27682,-0.22845,-0.21291,-0.08899,4.33049,3.23436,4.4742,0.01994,0.10622,-0.99876,-0.94277,1.28682,1.50945,0,0.00786,0.90799,1.30893,1.28643
6154,1.29321,1.30107,1.30893,1.28643,1.1109,2005-05-02,465920000,42.69939,44.29735,1.30717,1.36594,1.39072,0.1136,-1.82387,-0.33358,-0.30027,-0.24142,-0.22274,0.34933,4.12154,3.25923,4.46532,0.01934,0.10531,-0.50862,-0.93115,1.28702,1.50075,0,-0.00679,0.91996,1.31214,1.28679
